145 -130.002 -137.953 -142.535 -2.301 1.43 0.829
146 -129.576 -136.675 -142.84 -1.383 1.694 0.704
147 -129.387 -135.641 -142.645 -0.475 1.943 0.73
148 -129.367 -135.123 -142.067 0.322 2.036 0.763
149 -129.569 -134.935 -140.928 0.874 2.019 0.882
150 -129.768 -134.949 -139.357 1.221 1.914 0.856
151 -129.95 -135.25 -137.683 1.229 1.796 0.784
152 -130.19 -135.408 -135.929 1.003 1.602 0.613
153 -130.323 -135.947 -134.374 0.577 1.442 0.412
154 -130.432 -136.596 -133.178 -0.079 1.33 0.164
155 -130.402 -137.137 -132.353 -0.813 1.313 -0.109
156 -130.375 -137.733 -132.123 -1.579 1.282 -0.361
157 -130.435 -138.151 -132.364 -2.262 1.251 -0.677
158 -130.147 -138.375 -133.039 -2.806 1.237 -1
159 -130.035 -138.493 -133.899 -3.176 1.222 -1.317
160 -129.961 -138.273 -134.857 -3.184 1.188 -1.66
161 -129.968 -137.871 -135.841 -2.993 1.188 -1.938
162 -129.83 -137.316 -136.564 -2.544 1.11 -2.162
163 -129.539 -136.739 -136.89 -1.98 0.911 -2.238
164 -129.298 -136.08 -137.045 -1.257 0.675 -2.032
165 -129.241 -135.634 -136.946 -0.617 0.428 -1.764
166 -129.427 -135.378 -136.91 -0.177 0.024 -1.178
167 -129.643 -135.421 -136.692 -0.001 -0.467 -0.583
168 -130.244 -135.804 -136.751 0.064 -0.882 0.089
169 -130.875 -136.416 -136.967 -0.112 -1.247 0.711
170 -131.384 -136.826 -136.974 -0.523 -1.374 1.19
171 -132.136 -137.631 -137.305 -0.906 -1.268 1.586
172 -132.804 -138.438 -137.668 -1.211 -0.826 1.765
173 -133.009 -138.828 -137.949 -1.291 0.046 1.811
174 -132.781 -139.051 -138.1 -1.125 0.947 1.769
175 -132.132 -138.892 -138.137 -0.781 2.05 1.63
176 -131.383 -138.701 -138.31 -0.329 3.074 1.312
177 -130.595 -138.651 -138.409 0.07 3.93 0.892
178 -129.903 -138.48 -138.387 0.282 4.59 0.512
179 -129.466 -138.523 -138.343 0.044 4.855 0.151
180 -129.726 -138.849 -138.395 -0.434 4.863 -0.091
181 -130.401 -139.883 -138.457 -1.263 4.556 -0.289
182 -131.63 -141.182 -138.795 -2.206 3.979 -0.22
183 -133.181 -142.631 -138.915 -3.167 3.181 0.02
184 -135.183 -144.338 -139.271 -3.831 2.312 0.311
185 -137.271 -145.957 -139.663 -4.209 1.451 0.719
186 -139.495 -147.297 -140.076 -4.297 0.668 1.05
